#OTU ID	LauraG1C1S15	LauraG1C2S19	LauraG1C3S23	LauraG1T2S7	LauraG1T3S11	LauraG2C1S16	LauraG2C2S20	LauraG2C3S24	LauraG2T3S12	LauraP1C1S13	LauraP1C2S17	LauraP1C3S21	LauraP1T1S1	LauraP1T2S5	LauraP1T3S9	LauraP2C1S14	LauraP2C2S18	LauraP2C3S22	LauraP2T2S6	LauraP2T3S10
OTU_66	0	0	0	0	6	0	0	0	0	0	0	0	0	0	96	0	0	0	0	1
OTU_103	4	0	0	0	5	2	0	0	0	0	0	0	0	0	0	1	0	0	0	90
OTU_60	0	0	0	0	8	0	0	0	0	0	0	0	0	0	93	0	0	0	0	1
OTU_65	1	0	0	0	4	1	0	0	0	0	0	0	0	0	95	0	0	0	0	1
OTU_107	7	0	0	21	6	1	0	0	0	0	0	0	5	2	49	0	0	4	5	0
OTU_129	1	7	0	44	0	0	0	0	0	0	0	0	0	23	0	1	0	16	7	0
OTU_117	1	2	0	51	0	0	0	1	0	1	0	1	0	24	0	0	0	10	7	0
OTU_199	0	8	3	20	5	0	0	0	0	1	0	1	0	0	24	0	0	1	2	33
OTU_94	0	0	0	0	0	0	0	24	0	4	0	1	0	53	0	0	0	7	8	0
OTU_176	1	4	2	42	8	1	0	0	1	1	0	2	6	13	0	0	0	5	9	1
OTU_97	0	52	0	6	0	0	0	2	0	0	0	3	0	11	0	0	17	1	4	0
OTU_289	1	5	0	8	3	0	0	0	0	17	0	0	0	17	29	1	0	0	11	2
OTU_315	0	13	1	0	2	3	4	5	9	16	4	1	0	16	2	9	0	4	2	3
OTU_102	0	3	0	0	0	0	0	0	0	0	0	2	0	15	0	9	0	1	13	50
OTU_248	1	0	0	10	2	0	0	0	3	14	4	1	0	21	2	0	0	0	8	27
OTU_225	0	22	0	9	0	0	0	0	0	2	0	3	1	4	0	2	6	0	21	21
OTU_192	1	26	0	10	0	0	29	0	0	0	0	4	0	0	0	0	19	1	0	0
OTU_150	0	0	2	0	11	8	0	0	0	36	3	0	1	7	0	4	5	3	7	0
OTU_347	0	23	0	12	0	0	12	0	0	7	0	8	3	3	0	6	0	8	5	0
OTU_112	6	1	2	0	0	17	2	1	47	6	0	0	0	0	0	1	1	0	0	0
OTU_142	12	0	0	13	2	1	0	0	12	5	0	0	0	0	39	0	0	0	0	0
OTU_240	14	5	2	21	7	0	0	0	0	1	1	4	1	3	0	1	0	7	16	0
OTU_270	0	8	1	18	10	0	5	3	0	1	2	6	1	10	0	1	6	0	6	4
OTU_83	3	0	0	59	0	0	0	0	0	0	0	0	0	19	0	0	0	0	1	0
OTU_158	0	1	0	0	2	5	0	0	0	28	3	2	0	0	36	0	0	0	0	4
OTU_628	0	1	0	5	0	2	0	4	0	5	1	3	4	6	16	11	0	11	12	0
OTU_175	0	0	0	28	3	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0
OTU_288	5	0	8	2	2	0	5	12	0	1	2	18	0	5	0	0	11	0	6	1
OTU_496	4	6	6	6	8	0	9	5	0	8	0	6	3	5	0	0	2	6	2	2
OTU_72	0	0	0	0	7	0	0	0	0	0	0	0	0	0	69	1	0	0	0	0
OTU_181	0	0	0	0	21	0	0	0	0	3	2	3	1	3	30	7	0	0	6	0
OTU_189	0	30	0	39	0	0	0	0	0	0	0	0	0	2	0	2	0	0	3	0
OTU_209	0	0	0	4	2	7	0	0	0	6	6	4	0	2	33	0	4	0	7	1
OTU_79	0	0	0	0	0	0	0	0	67	8	0	0	0	0	0	1	0	0	0	0
OTU_236	32	0	0	0	4	0	25	0	0	0	0	5	0	0	0	6	0	0	0	3
